English,French
the,le
be,être
and,et
a,un
of,de
to,pour
in,dans
i,je
you,toi
it,il
have,ont
to,pour
that,ce
for,pour
do,faire
he,il
with,avec
on,sur
this,ce
n't,NT
we,nous
that,ce
not,pas
but,mais
they,ils
say,dire
at,à
what,quoi
his,son
from,depuis
go,aller
or,ou
by,par
get,obtenir
she,elle
my,mon
can,peut
as,comme
know,savoir
if,si
me,moi
your,ton
all,tous
who,OMS
about,à propos
their,leur
will,sera
so,donc
would,serait
make,faire
just,juste
up,en haut
think,penser
time,temps
there,là
see,voir
her,son
as,comme
out,dehors
one,un
come,venir
people,personnes
take,prendre
year,année
him,lui
them,eux
some,quelques
want,vouloir
how,comment
when,quand
which,qui
now,maintenant
like,comme
other,autre
could,pourrait
our,notre
into,dans
here,ici
then,alors
than,que
look,regarder
way,chemin
more,plus
these,ces
no,Non
thing,chose
well,Bien
because,parce que
also,aussi
two,deux
use,utiliser
tell,dire
good,bien
first,d'abord
man,homme
day,jour
find,trouver
give,donner
more,plus
new,nouveau
one,un
us,nous
any,n'importe quel
those,ceux
very,très
her,son
need,besoin
back,dos
there,là
should,devrait
even,même
only,seul
many,beaucoup
really,vraiment
work,travail
life,vie
why,pourquoi
right,droite
down,bas
on,sur
try,essayer
let,laisser
something,quelque chose
too,aussi
call,appel
woman,femme
may,peut
still,toujours
through,à travers
mean,moyenne
after,après
never,jamais
no,Non
world,monde
in,dans
feel,se sentir
yeah,Ouais
great,super
last,dernier
child,enfant
oh,Oh
over,sur
ask,demander
when,quand
as,comme
school,école
state,État
much,beaucoup
talk,parler
out,dehors
keep,donjon
leave,partir
put,mettre
like,comme
help,aider
big,grand
where,où
same,même
all,tous
own,posséder
while,alors que
start,commencer
three,trois
high,haut
every,chaque
another,un autre
become,devenir
most,la plupart
between,entre
happen,arriver
family,famille
over,sur
president,président
old,vieux
yes,Oui
house,loger
show,montrer
again,encore
student,étudiant
so,donc
seem,sembler
might,pourrait
part,partie
hear,entendre
its,c'est
place,lieu
problem,problème
where,où
believe,croire
country,pays
always,toujours
week,semaine
point,indiquer
hand,main
off,désactivé
play,jouer
turn,tourner
few,peu
group,groupe
such,tel
against,contre
run,courir
guy,gars
about,à propos
case,cas
question,question
work,travail
night,nuit
live,en direct
game,jeu
number,nombre
write,écrire
bring,apporter
without,sans
money,argent
lot,parcelle
most,la plupart
book,livre
system,système
government,gouvernement
next,suivant
city,ville
company,entreprise
story,histoire
today,aujourd'hui
job,emploi
move,déplacer
must,devoir
bad,mauvais
friend,ami
during,pendant
begin,commencer
love,aimer
each,chaque
hold,prise
different,différent
american,Américain
little,petit
before,avant
ever,jamais
word,mot
fact,fait
right,droite
read,lire
anything,quoi que ce soit
nothing,rien
sure,bien sûr
small,petit
month,mois
program,programme
maybe,peut être
right,droite
under,sous
business,entreprise
home,maison
kind,type
stop,arrêt
pay,payer
study,étude
since,depuis
issue,problème
name,nom
idea,idée
room,chambre
percent,pour cent
far,loin
away,loin
law,loi
actually,en fait
large,grand
though,mais
provide,fournir
lose,perdre
power,pouvoir
kid,enfant
war,guerre
understand,comprendre
head,diriger
mother,mère
real,réel
best,meilleur
team,équipe
eye,œil
long,long
long,long
side,côté
water,eau
young,jeune
wait,attendez
okay,d'accord
both,les deux
yet,encore
after,après
meet,rencontrer
service,service
area,zone
important,important
person,personne
hey,Hé
thank,remercier
much,beaucoup
someone,quelqu'un
end,fin
change,changement
however,cependant
only,seul
around,autour
hour,heure
everything,tout
national,national
four,quatre
line,doubler
girl,fille
around,autour
watch,montre
until,jusqu'à
father,père
sit,s'asseoir
create,créer
information,information
car,voiture
learn,apprendre
least,moins
already,déjà
kill,tuer
minute,minute
party,faire la fête
include,inclure
stand,rester
together,ensemble
back,dos
follow,suivre
health,santé
remember,se souvenir
often,souvent
reason,raison
speak,parler
ago,il y a
set,ensemble
black,noir
member,membre
community,communauté
once,une fois
social,social
news,nouvelles
allow,permettre
win,gagner
body,corps
lead,mener
continue,continuer
whether,si
enough,assez
spend,dépenser
level,niveau
able,capable
political,politique
almost,presque
boy,garçon
university,université
before,avant
stay,rester
add,ajouter
later,plus tard
change,changement
five,cinq
probably,probablement
center,centre
among,parmi
face,affronter
public,public
die,mourir
food,nourriture
else,autre
history,histoire
buy,acheter
result,résultat
morning,matin
off,désactivé
parent,parent
office,bureau
course,cours
send,envoyer
research,recherche
walk,marcher
door,porte
white,blanc
several,plusieurs
court,rechercher
home,maison
grow,grandir
better,mieux
open,ouvrir
moment,moment
including,y compris
consider,considérer
both,les deux
such,tel
little,petit
within,dans
second,deuxième
late,en retard
street,rue
free,gratuit
better,mieux
everyone,tout le monde
policy,politique
table,tableau
sorry,Désolé
care,se soucier
low,faible
human,humain
please,s'il te plaît
hope,espoir
TRUE,VRAI
process,processus
teacher,professeur
data,données
offer,offre
death,décès
whole,ensemble
experience,expérience
plan,plan
easy,facile
education,éducation
build,construire
expect,attendre
fall,automne
himself,lui-même
age,âge
hard,dur
sense,sens
across,à travers
show,montrer
early,tôt
college,collège
music,musique
appear,apparaître
mind,esprit
class,classe
police,police
use,utiliser
effect,effet
season,saison
tax,impôt
heart,cœur
son,fils
art,art
possible,possible
serve,servir
break,casser
although,bien que
end,fin
market,marché
even,même
air,air
force,force
require,exiger
foot,pied
up,en haut
listen,écouter
agree,accepter
according,selon
anyone,n'importe qui
baby,bébé
wrong,faux
love,aimer
cut,couper
decide,décider
republican,républicain
full,complet
behind,derrière
pass,passer
interest,intérêt
sometimes,parfois
security,sécurité
eat,manger
report,rapport
control,contrôle
rate,taux
local,local
suggest,suggérer
report,rapport
nation,nation
sell,vendre
action,action
support,soutien
wife,épouse
decision,décision
receive,recevoir
value,valeur
base,base
pick,prendre
phone,téléphone
thanks,merci
event,événement
drive,conduire
strong,fort
reach,atteindre
remain,rester
explain,expliquer